pair_order,pair_id,from_order,from_station_id,from_station_name,to_order,to_station_id,to_station_name,w1_distance_m,distance_km,w2_average_lanes,w3_protection_proxy,w3_child_protection_proxy,w3_senior_protection_proxy,w3_disabled_protection_proxy,w3_classification,w4_average_absolute_grade_pct,w4_classification,distance_norm,lane_inverse_norm,lane_penalty_norm,protection_norm,slope_norm,scenario_cost
1,ST001__ST002,1,ST001,월곶역,2,ST002,월곶포구,619.0,0.619,1.5532421960245575,0.149164241,0.149164241,0.0,0.0,PRELIMINARY_POINT_BUFFER_PROXY,0.47799073,PRELIMINARY_90M,0.026265540798574277,0.6438145979805647,0.6438145979805647,0.149164241,0.07966512166666666,0.2247273753614514
945,ST022__ST043,22,ST022,오이도박물관,43,ST043,시흥종합버스터미널,5950.0,5.95,2.5472433575560016,0.037132252,0.037132252,0.0,0.0,PRELIMINARY_POINT_BUFFER_PROXY,1.30121079,PRELIMINARY_90M,0.25247167649679636,0.39258125731632804,0.39258125731632804,0.037132252,0.216868465,0.2247634127032811
957,ST022__ST055,22,ST022,오이도박물관,55,ST055,해양생태과학관,1977.0,1.977,2.056726097058233,0.0,0.0,0.0,0.0,PRELIMINARY_POINT_BUFFER_PROXY,2.016046436,PRELIMINARY_90M,0.08388848814019603,0.486209613146989,0.486209613146989,0.0,0.33600773933333333,0.22652646015512962
1227,ST032__ST050,32,ST032,희망공원,50,ST050,시흥한라3차아파트,4271.0,4.271,3.200955888599408,0.219882908,0.219882908,0.0,0.0,PRELIMINARY_POINT_BUFFER_PROXY,1.156929234,PRELIMINARY_90M,0.18122798828870879,0.31240667938025046,0.31240667938025046,0.219882908,0.192821539,0.2265847786672398
124,ST003__ST020,3,ST003,배곧한울공원,20,ST020,시화공업단지[왼쪽부근],5193.0,5.193,3.656428711169751,0.322906619,0.322906619,0.0,0.0,PRELIMINARY_POINT_BUFFER_PROXY,0.631602774,PRELIMINARY_90M,0.2203504900920779,0.27349090574230933,0.27349090574230933,0.322906619,0.105267129,0.23050378595859683
205,ST004__ST050,4,ST004,배곧중심상가,50,ST050,시흥한라3차아파트,2083.0,2.083,3.3375162940590184,0.4015265,0.4015265,0.0,0.0,PRELIMINARY_POINT_BUFFER_PROXY,0.795418286,PRELIMINARY_90M,0.08838630288114736,0.29962400536592454,0.29962400536592454,0.4015265,0.13256971433333334,0.23052663064510132
153,ST003__ST049,3,ST003,배곧한울공원,49,ST049,거북섬 웨이브파크 정문,5138.0,5.138,2.9650251146495297,0.037330956,0.037330956,0.0,0.0,PRELIMINARY_POINT_BUFFER_PROXY,1.978649013,PRELIMINARY_90M,0.2180167182925277,0.33726527139996976,0.33726527139996976,0.037330956,0.32977483550000003,0.23059694529812436
796,ST018__ST032,18,ST018,정왕역,32,ST032,희망공원,3868.0,3.868,2.4031752148338352,0.194564581,0.194564581,0.0,0.0,PRELIMINARY_POINT_BUFFER_PROXY,0.885911753,PRELIMINARY_90M,0.16412780583018627,0.41611614243830486,0.41611614243830486,0.194564581,0.14765195883333335,0.23061512202545612
1234,ST033__ST035,33,ST033,타원산업단지,35,ST035,산들공원,7540.0,7.54,2.4880660387555813,0.057148758,0.057148758,0.0,0.0,PRELIMINARY_POINT_BUFFER_PROXY,0.8813862,PRELIMINARY_90M,0.3199388976110663,0.4019185923618631,0.4019185923618631,0.057148758,0.1468977,0.23147598699323235
160,ST004__ST005,4,ST004,배곧중심상가,5,ST005,배곧중·고등학교,2591.0,2.591,3.612965583991951,0.346284637,0.346284637,0.0,0.0,PRELIMINARY_POINT_BUFFER_PROXY,1.174987484,PRELIMINARY_90M,0.10994186786608393,0.27678093708689694,0.27678093708689694,0.346284637,0.19583124733333335,0.23220967232157855
123,ST003__ST019,3,ST003,배곧한울공원,19,ST019,시화병원,4589.0,4.589,3.3569912039784113,0.314662169,0.314662169,0.0,0.0,PRELIMINARY_POINT_BUFFER_PROXY,0.732725069,PRELIMINARY_90M,0.1947214325115628,0.29788579690494504,0.29788579690494504,0.314662169,0.12212084483333334,0.23234756081246027
951,ST022__ST049,22,ST022,오이도박물관,49,ST049,거북섬 웨이브파크 정문,2432.0,2.432,2.198773004915802,0.078808855,0.078808855,0.0,0.0,PRELIMINARY_POINT_BUFFER_PROXY,1.80570442,PRELIMINARY_90M,0.10319514575465694,0.45479910739503243,0.45479910739503243,0.078808855,0.30095073666666666,0.234438461204089
1379,ST040__ST054,40,ST040,갯골생태공원,54,ST054,시흥 프리미엄 아울렛,5042.0,5.042,2.505555704817685,0.080180898,0.080180898,0.0,0.0,PRELIMINARY_POINT_BUFFER_PROXY,1.509985427,PRELIMINARY_90M,0.21394322569694912,0.39911305826376126,0.39911305826376126,0.080180898,0.2516642378333333,0.23622535494851093
