from_station_id,to_station_id,reference_distance_km,structure_distance_km,distance_stretch,structure
ST003,ST048,4.8629999999999995,4.8629999999999995,1.0,CANDIDATE_GRAPH
ST003,ST049,5.138,5.138,1.0,CANDIDATE_GRAPH
ST003,ST050,2.18,2.18,1.0,CANDIDATE_GRAPH
ST003,ST051,13.376000000000001,13.376000000000001,1.0,CANDIDATE_GRAPH
ST003,ST052,10.95,10.95,1.0,CANDIDATE_GRAPH
ST003,ST053,2.485,2.485,1.0,CANDIDATE_GRAPH
ST003,ST054,5.63,5.63,1.0,CANDIDATE_GRAPH
ST003,ST055,4.683,4.683,1.0,CANDIDATE_GRAPH
ST004,ST005,1.874,1.874,1.0,CANDIDATE_GRAPH
ST004,ST006,8.466,8.466,1.0,CANDIDATE_GRAPH
ST004,ST007,7.85,7.85,1.0,CANDIDATE_GRAPH
ST004,ST008,8.741999999999999,8.741999999999999,1.0,CANDIDATE_GRAPH
ST004,ST009,9.575,9.575,1.0,CANDIDATE_GRAPH
ST004,ST010,12.311,12.311,1.0,CANDIDATE_GRAPH
ST004,ST011,2.231,2.231,1.0,CANDIDATE_GRAPH
ST004,ST012,9.95,9.95,1.0,CANDIDATE_GRAPH
ST004,ST013,10.767,10.767,1.0,CANDIDATE_GRAPH
ST004,ST014,11.329999999999998,11.329999999999998,1.0,CANDIDATE_GRAPH
ST004,ST015,12.637,12.637,1.0,CANDIDATE_GRAPH
ST004,ST016,11.55,11.55,1.0,CANDIDATE_GRAPH
ST004,ST017,6.764,6.764,1.0,CANDIDATE_GRAPH
ST004,ST018,3.3680000000000003,3.3680000000000003,1.0,CANDIDATE_GRAPH
ST004,ST019,2.926,2.926,1.0,CANDIDATE_GRAPH
ST004,ST020,4.663,4.663,1.0,CANDIDATE_GRAPH
ST004,ST021,5.883,5.883,1.0,CANDIDATE_GRAPH
ST004,ST022,6.657,6.657,1.0,CANDIDATE_GRAPH
ST004,ST023,1.713,1.713,1.0,CANDIDATE_GRAPH
ST004,ST024,13.013,13.013,1.0,CANDIDATE_GRAPH
ST004,ST025,13.669,13.669,1.0,CANDIDATE_GRAPH
ST004,ST026,11.747,11.747,1.0,CANDIDATE_GRAPH
ST004,ST027,11.37,11.37,1.0,CANDIDATE_GRAPH
ST004,ST028,13.012,13.012,1.0,CANDIDATE_GRAPH
ST004,ST029,9.373999999999999,9.373999999999999,1.0,CANDIDATE_GRAPH
ST004,ST030,7.077,7.077,1.0,CANDIDATE_GRAPH
ST004,ST031,3.997,3.997,1.0,CANDIDATE_GRAPH
ST004,ST032,5.657,5.657,1.0,CANDIDATE_GRAPH
ST004,ST033,6.271,6.271,1.0,CANDIDATE_GRAPH
ST004,ST034,5.987,5.987,1.0,CANDIDATE_GRAPH
ST004,ST035,5.634,5.634,1.0,CANDIDATE_GRAPH
ST004,ST036,6.252,6.252,1.0,CANDIDATE_GRAPH
ST004,ST037,6.728,6.728,1.0,CANDIDATE_GRAPH
ST004,ST038,9.841000000000001,9.841000000000001,1.0,CANDIDATE_GRAPH
ST004,ST039,9.541,9.541,1.0,CANDIDATE_GRAPH
ST004,ST040,6.399,6.399,1.0,CANDIDATE_GRAPH
ST004,ST041,10.89,10.89,1.0,CANDIDATE_GRAPH
ST004,ST042,8.272,8.272,1.0,CANDIDATE_GRAPH
ST004,ST043,3.945,3.945,1.0,CANDIDATE_GRAPH
ST004,ST044,4.673,4.673,1.0,CANDIDATE_GRAPH
ST004,ST045,3.29,3.29,1.0,CANDIDATE_GRAPH
ST004,ST046,1.366,1.366,1.0,CANDIDATE_GRAPH
ST004,ST047,2.617,2.617,1.0,CANDIDATE_GRAPH
ST004,ST048,3.286,3.286,1.0,CANDIDATE_GRAPH
ST004,ST049,7.854,7.854,1.0,CANDIDATE_GRAPH
ST004,ST050,2.083,2.083,1.0,CANDIDATE_GRAPH
ST004,ST051,10.071,10.071,1.0,CANDIDATE_GRAPH
ST004,ST052,6.686999999999999,6.686999999999999,1.0,CANDIDATE_GRAPH
ST004,ST053,6.257,6.257,1.0,CANDIDATE_GRAPH
ST004,ST054,2.4530000000000003,2.4530000000000003,1.0,CANDIDATE_GRAPH
ST004,ST055,7.399,7.399,1.0,CANDIDATE_GRAPH
ST005,ST006,8.471,8.471,1.0,CANDIDATE_GRAPH
ST005,ST007,8.514,8.514,1.0,CANDIDATE_GRAPH
ST005,ST008,9.522,9.522,1.0,CANDIDATE_GRAPH
ST005,ST009,10.355,10.355,1.0,CANDIDATE_GRAPH
ST005,ST010,12.924,12.924,1.0,CANDIDATE_GRAPH
ST005,ST011,1.035,1.035,1.0,CANDIDATE_GRAPH
ST005,ST012,10.931000000000001,10.931000000000001,1.0,CANDIDATE_GRAPH
ST005,ST013,10.277999999999999,10.277999999999999,1.0,CANDIDATE_GRAPH
ST005,ST014,11.593,11.593,1.0,CANDIDATE_GRAPH
ST005,ST015,13.526,13.526,1.0,CANDIDATE_GRAPH
ST005,ST016,11.420000000000002,11.420000000000002,1.0,CANDIDATE_GRAPH
ST005,ST017,7.16,7.16,1.0,CANDIDATE_GRAPH
ST005,ST018,4.208,4.208,1.0,CANDIDATE_GRAPH
ST005,ST019,4.217,4.217,1.0,CANDIDATE_GRAPH
ST005,ST020,5.8870000000000005,5.8870000000000005,1.0,CANDIDATE_GRAPH
ST005,ST021,5.83,5.83,1.0,CANDIDATE_GRAPH
ST005,ST022,6.603999999999999,6.603999999999999,1.0,CANDIDATE_GRAPH
ST005,ST023,2.553,2.553,1.0,CANDIDATE_GRAPH
ST005,ST024,13.902,13.902,1.0,CANDIDATE_GRAPH
ST005,ST025,13.539000000000001,13.539000000000001,1.0,CANDIDATE_GRAPH
ST005,ST026,12.216,12.216,1.0,CANDIDATE_GRAPH
ST005,ST027,11.838999999999999,11.838999999999999,1.0,CANDIDATE_GRAPH
ST005,ST028,12.879999999999999,12.879999999999999,1.0,CANDIDATE_GRAPH
ST005,ST029,9.242,9.242,1.0,CANDIDATE_GRAPH
ST005,ST030,6.947,6.947,1.0,CANDIDATE_GRAPH
