pair_order,pair_id,from_order,from_station_id,from_station_name,to_order,to_station_id,to_station_name,w1_distance_m,distance_km,w2_average_lanes,w3_protection_proxy,w3_child_protection_proxy,w3_senior_protection_proxy,w3_disabled_protection_proxy,w3_classification,w4_average_absolute_grade_pct,w4_classification,distance_norm,lane_penalty_norm,protection_norm,slope_norm,scenario_cost,scenario,structure
160,ST004__ST005,4,ST004,배곧중심상가,5,ST005,배곧중·고등학교,2591.0,2.591,3.612965583991951,0.346284637,0.346284637,0.0,0.0,PRELIMINARY_POINT_BUFFER_PROXY,1.174987484,PRELIMINARY_90M,0.19093962621651883,0.23242607606189314,0.346284637,0.15815204200260122,0.23315503124937634,balanced,T2_SPANNER
1243,ST033__ST044,33,ST033,타원산업단지,44,ST044,경기과학기술대학교,1598.0,1.598,1.7010597777371803,0.123630586,0.123630586,0.0,0.0,PRELIMINARY_POINT_BUFFER_PROXY,0.331684145,PRELIMINARY_90M,0.1054172767203514,0.7940595896824632,0.123630586,0.018235185665018444,0.23462175297438595,balanced,T2_SPANNER
1145,ST029__ST040,29,ST029,관곡공원,40,ST040,갯골생태공원,3173.0,3.173,2.6002442194967386,0.0,0.0,0.0,0.0,PRELIMINARY_POINT_BUFFER_PROXY,1.529257702,PRELIMINARY_90M,0.24106450779433297,0.5299189004465018,0.0,0.2169308620359346,0.23494921251242373,balanced,T2_SPANNER
1210,ST032__ST033,32,ST032,희망공원,33,ST033,타원산업단지,2081.0,2.081,1.4965117896209403,0.0,0.0,0.0,0.0,PRELIMINARY_POINT_BUFFER_PROXY,0.481788461,PRELIMINARY_90M,0.14701576091637242,0.8541467576244774,0.0,0.043139775800197705,0.23610662226147414,balanced,T2_SPANNER
205,ST004__ST050,4,ST004,배곧중심상가,50,ST050,시흥한라3차아파트,2083.0,2.083,3.3375162940590184,0.4015265,0.4015265,0.0,0.0,PRELIMINARY_POINT_BUFFER_PROXY,0.795418286,PRELIMINARY_90M,0.14718801136852985,0.3133409161252583,0.4015265,0.09517573621717196,0.2362013732050394,balanced,T2_SPANNER
957,ST022__ST055,22,ST022,오이도박물관,55,ST055,해양생태과학관,1977.0,1.977,2.056726097058233,0.0,0.0,0.0,0.0,PRELIMINARY_POINT_BUFFER_PROXY,2.016046436,PRELIMINARY_90M,0.1380587374041857,0.6895805280345066,0.0,0.29769652038444466,0.23779407862624233,balanced,T2_SPANNER
53,ST001__ST054,1,ST001,월곶역,54,ST054,시흥 프리미엄 아울렛,3069.0,3.069,2.971566575272677,0.131704676,0.131704676,0.0,0.0,PRELIMINARY_POINT_BUFFER_PROXY,1.446878915,PRELIMINARY_90M,0.23210748428214625,0.42084078651533996,0.131704676,0.20326296772922972,0.24042676517531097,balanced,T2_SPANNER
879,ST020__ST044,20,ST020,시화공업단지[왼쪽부근],44,ST044,경기과학기술대학교,406.0,0.406,2.506476981067469,0.352976565,0.352976565,0.0,0.0,PRELIMINARY_POINT_BUFFER_PROXY,1.876973273,PRELIMINARY_90M,0.0027560072345189906,0.5574635751942025,0.352976565,0.274622166391066,0.24203258414130802,balanced,T2_SPANNER
466,ST010__ST026,10,ST010,은계호수공원,26,ST026,은계파크자이,1220.0,1.22,2.405341600576404,0.254629654,0.254629654,0.0,0.0,PRELIMINARY_POINT_BUFFER_PROXY,1.537591702,PRELIMINARY_90M,0.07286194126259582,0.5871726847699602,0.254629654,0.21831359945293588,0.2429837668769707,balanced,T2_SPANNER
1147,ST029__ST042,29,ST029,관곡공원,42,ST042,시흥시청역,2654.0,2.654,2.6841941622399865,0.0,0.0,0.0,0.0,PRELIMINARY_POINT_BUFFER_PROXY,2.927478894,PRELIMINARY_90M,0.19636551545947808,0.5052581137294531,0.0,0.44891703427285934,0.24693538407061075,balanced,T2_SPANNER
